主办方,计数
广西壮族自治区人力资源和社会保障厅 广西壮族自治区教育厅 广西壮族自治区工商业联合会,1
广西壮族自治区人力资源和社会保障厅 等,1
广西壮族自治区农业农村厅,1
广西壮族自治区博物馆 等,1
广西壮族自治区工业和信息化厅 柳州市人民政府,1
广西壮族自治区工商局,1
广西壮族自治区教育厅,1
广西壮族自治区文化和旅游厅,1
广西壮族自治区新闻出版局 等,2
广西大学数学建模协会,1
广西省数学学会,2
广西省自治区新闻出版局 等,1
广西科大,1
广西自治区教育厅,2
康乐及文化事务署 等,1
康腾实践中心,1
延安市旅游发展委员会,1
建筑材料工业技术监督研究中心,1
开平市人民政府,1
弈星棋牌社,1
张謇杯•中国国际家用纺织产品设计大赛组委会,1
当代设计师协会,1
彩虹巴士rainbowbus,1
影视剪辑师考试中心,1
影视剪辑考试中心,1
徐州市人力资源局和社会保障局,1
微软,2
微软 等,1
微软亚太研发集团,1
微软学生俱乐部,2
德勤,1
德勤中国,1
德化县陶瓷发展委员会,1
德国,1
德国国际自然电影节组委会 等,1
德国红点,2
德国著名设计协会Design Zentrum Nordrhein Westfalen,1
德纳展览有限公司,1
德邦证券,1
心电微读协会,1
怀化学院物理与信息工程系,2
思科网络技术学院理事会,1
恒生电子股份有限公司,1
恩施州博物馆,1
悦诗风吟,1
惠州学院教务处 等,1
惠州学院数学与统计学院数学建模俱乐部,1
惠普,1
慈溪市人民政府,2
慈溪市经信局 等,1
慧择控股,1
慧科培优 等,1
成都、绵阳、巴中、遂宁、乐山、德阳、甘孜、阿坝州、眉山、资阳十个城市文化广电新闻出版局,1
成都世运会,1
成都博物馆,1
成都市人才工作领导小组办公室,1
成都市人民政府,5
成都市人民政府 等,2
成都市文化广电旅游局,2
成都市文广旅局,1
成都市锦江区社会组织发展基金会 等,2
成都市高新技术产业开发区管理委员会,1
成都琛石科技有限公司,1
成都翻译协会,2
成都锦城学院 等,1
成都锦城学院土木与环境工程学院 等,1
成都飞机工业（集团）有限责任公司,1
成都高新区管委会,1
成飞校园俱乐部,1
我赢职场 等,1
扬子江航空,1
扬州市人力资源与社会保障局 等,1
扬州市委宣传部 等,1
扬州市生态科技新城管理委员会 等,1
拍拍贷智慧金融研究院,1
招商局地产控股股份有限公司 等,1
招商局慈善基金会 等,1
招生就业指导处 等,2
拜尔斯道夫（中国）集团,1
捷克共和国文化部，布拉格市政厅，City Quarter of Prague 5 and Gestor,1
掌上大学生,1
掌上大学生微信公众平台,1
掌阅科技 等,1
搜房网,1
搜星网 等,1
搜狗 等,6
携程云海竞赛组委会,1
携程旅行网,1
摄影世界杂志社 海峡两岸交流中心,1
攀枝花学院语委办,1
支付宝开放平台、支付宝小程序云,1
教 育部 、商务部 、无锡 市人 民政府,1
教务处,8
教务处   承办方：理学系,1
教务处 理学院,1
教务处 等,26
教务处、 理学院、大数据应用创新协会、 以升大学生创新实验中心,1
教务处、基础部,1
教务处、学生处、团委主办，理学院承办。竞赛设组委会,1
教务处、理学院,1
教务处、资源环境学院,1
教育部,3
教育部 国家语委,1
教育部 等,16
教育部、上海市人民政府,1
教育部、中央统战部、中央网信办、国家发展改革委、工业和信息化部、人力资源和社会保障部、农业农村部、中国科学院、中国工程院、国家知识产权局、国家乡村振兴局、共青团中央、天津市人民政府,1
教育部、中央统战部、中央网信办、国家发展改革委、工业和信息化部、人力资源社会保障部、农业 农村部、中国科学院、中国工程院、 国家知识产权局、国家乡村振兴局、共青团中央、上海市人民政府,1
教育部、中央统战部、中央网信办、国家发展改革委、工业和信息化部、人力资源社会保障部、农业农村部、中国科学院、中国工程院、国家知识产权局。 国家乡村振兴局、共青团中央、上海市人民政府,1
教育部、中央统战部、中央网络安全和信息化委 员会办公室、国家发展改革委、工业和信息化部、人力资源社会 保障部、农业农村部、中国科学院、中国工程院、国家知识产权 局、国务院扶贫开发领导小组办公室、共青团中央和广东省人民 政府,1
教育部、共青团中央、工信部人社部等,1
教育部、国务院等23个部门,114
教育部、国家语委,1
教育部全国高校教师网络培训中心,1
教育部制药工程专业教学指导分委员会、国际制药工程协会,1
教育部医学教育临床教学研究中心 等,3
教育部及有关部委 等,1
教育部国防教育办公室,1
教育部国际合作与交流司,1
教育部大学数学课程群虚拟教研室 等,3
教育部学位与研究生教育发展中心,2
教育部学位与研究生教育发展中心 等,11
教育部学位与研究生教育发展中心、中国科协青少年科技中心联合中国智慧城市产业技术创新战略联盟和数字音视频编解码 (AVS) 产业技术创新战略联盟,1
教育部学位与研究生教育发展中心（以下简称“学位中心”） 等,1
教育部学校规划建设发展中心,1
教育部工业设计专业教学指导分委员会,2
教育部思想政治工作司 等,4
教育部无机非金属材料专业教学指导委员会 等,1
教育部机械学科教学指导委员会,1
教育部理工科教学指导委员会(机械\电子\计算机) 等,1
教育部科学技术司 等,2
教育部科技发展中心,1
教育部科技发展中心 等,3
教育部科技司 等,1
教育部职业教育技术研究所 等,1
教育部自动化类教学指导委员会,1
教育部航空航天类专业教学指导委员会,1
教育部计算机科学与技术类教学指导委员会,1
教育部计算机类专业教学指导委员会,1
教育部计算机类教学指导委员会 等,1
教育部语言文字应用管理司 等,1
教育部青年发展署,1
教育部高校毕业生就业协会 等,1
教育部高校毕业生就业协会、启明星大学生创业分会和义乌电商智慧园区、西南交通大学招生就业处、大学生就业指导中心,1
教育部高校海洋科学类专业教学指导委员会 等,1
教育部高等学校仪器仪表专业教学指导委员会 等,1
教育部高等学校信息安全专业教学指导委员会,1
教育部高等学校信息安全类专业教学指导委员会,1
教育部高等学校公共管理类专业教学指导委员会,1
教育部高等学校创新方法教学指导委员 等,1
教育部高等学校力学基础课程教学指导分委员会、中国力学学会和周培源基金会,1
教育部高等学校力学教学指导委员会 等,1
教育部高等学校力学教学指导委员会力学基础课程教学指导分委员会 等,1
教育部高等学校动画、数字媒体专业教学指导委员会,2
教育部高等学校化工类专业教学指导委员会、华南理工大学,1
教育部高等学校大学外语教学指导委员会 等,1
教育部高等学校大学生物学课程教学指导委员会 等,1
教育部高等学校工业设计专业教学指导分委员会,2
教育部高等学校工业设计专业教学指导分委员会 等,5
教育部高等学校工程图学教学指导委员会 等,1
教育部高等学校工程图学课程教学指导委员会 等,2
教育部高等学校新闻传播学类专业教学指导委员会 等,4
教育部高等学校机械学科教学指导委员会,1
教育部高等学校材料类专业教学指导委员会,4
教育部高等学校材料类专业教学指导委员会主办,1
教育部高等学校物流类专业教学指导委员会  等,1
教育部高等学校生物医学工程类教学指导委员会,1
教育部高等学校电子信息类教学指导委员会,2
教育部高等学校电子商务专业教学指导委员会,1
教育部高等学校电子商务类专业教学指导委员会,1
教育部高等学校电气类专业教学指导委员会 等,2
教育部高等学校统计学类与业教学指导委员会 等,1
教育部高等学校统计学类专业教学指导委员会  等,1
教育部高等学校统计学类专业教学指导委员会 等,4
教育部高等学校网络空间安全专业教学指导委员会,1
教育部高等学校网络空间安全专业教学指导委员会 等,1
教育部高等学校能源动力类专业教学指导委员会 等,1
教育部高等学校自动化类专业教学指导分委员会 等,1
教育部高等学校自动化类专业教学指导委员会 等,7
教育部高等学校自动化类专业教育指导委员会,1
教育部高等学校计算机类专业教学指导委员会,3
教育部高等学校计算机类专业教学指导委员会 全国机械职业教育教学指导委员会 全国高等学校计算机教育研究会 中国电子学会,1
教育部高等学校计算机类专业教学指导委员会 等,13
教育部高等学校计算机类专业教学指导委员会、中国通信学会,1
教育部高等学校软件工程专业教学指导委员会,1
教育部高等教育司,6
教育部高等教育司 等,6
敦煌市人民政府、广东省广轻控股集团有限公司、福建省旅游发展集团有限公司、,1
数字中国建设峰会组委会,3
数字智能国际发展教育联盟,2
数学与大数据学院数学建模俱乐部,1
数学与统计学院,2
数学中国数学建模网络挑战赛组委会,2
数学中国网 等,1
数学周报社,3
数学学院团委学生会,1
数学家,1
数学家（原校苑数模）,2
数学建模,1
数学建模与数学应用协会,2
数学建模俱乐部,1
数学建模协会,4
数学建模国际赛组委会,1
数学建模组委会,2
数理学院,2
数理学院团委,1
文化乌镇 等,1
文化和旅游部恭王府博物馆 等,1
文化部文化产业司 等,1
文化部文化产业司、江苏省文化厅、苏州市人民政府,1
文化部非物质遗产司 等,1
文汇报,1
斯坦福大学中国指导性案例项目（CGCP）,1
斯科普里,2
新三板广州服务基地 等,1
新三板智库,1
新世家族,1
新东方,1
新丝路中国模特大赛组委会,1
新人杯全国大学生室内设计竞赛组委会,1
新加坡图文科学出版社 等,1
新华社中国图片社 等,1
新华社中国经济信息社,1
新华社新闻信息中心湖北中心,1
新华社音视频部 等,1
新华网,1
新媒体中国模特大赛组委会,1
新安人才网,1
新希望六和,1
新星出版社,1
新浪,1
新浪四川,1
新浪娱乐 等,1
新疆地区数学会或军队院校数学联席会,1
新疆大学,6
新疆大学数学建模协会,4
新疆大学校团委,2
新疆大学生数学竞赛组委会,7
新疆大学软件学院,1
新疆理工学院教务处,1
新疆维吾尔族自治区工业和信息化厅,1
新疆维吾尔自治区数学学会 等,1
新疆自治区模拟联合国大会,1
新能源汽车国家大数据联盟,6
新能源汽车国家大数据联盟 等,1
施耐德电气,4
无,2
无锡市,1
无锡市人力资源和社会保障局 等,1
无锡市人民政府,1
无锡市人民政府 等,1
无锡市科学技术局 等,1
日中交流研究所,1
日新工业株式会社,1
日本ASPaC事务局,1
日本外交部,1
旭辉集团,1
时报金犊奖组委会,2
